0,1,2,WON
2,3,1,WON
4,5,2,WON
6,7,1,WON
8,0,2,WON
9,10,2,WON
11,12,3,WON
13,3,1,WON
4,14,2,WON
16,15,1,WON
17,18,1,WON
1,19,2,WON
20,21,2,WON
22,23,2,WON
25,24,1,WON
27,26,2,WON
28,29,3,WON
5,12,3,WON
0,25,1,WON
6,11,1,WON
26,9,1,WON
22,18,1,WON
13,14,3,WON
1,28,3,WON
15,7,2,WON
17,16,1,WON
27,19,1,WON
2,5,2,WON
24,8,3,WON
21,10,1,WON
27,29,1,WON
23,18,2,WON
16,8,1,WON
11,3,2,WON
21,19,2,WON
7,10,2,WON
4,25,1,WON
6,20,2,WON
26,15,3,WON
9,14,3,WON
2,13,3,WON
1,17,3,WON
12,22,3,WON
23,4,2,WON
20,14,2,WON
16,24,1,WON
27,8,2,WON
0,18,3,WON
2,26,3,WON
1,15,3,WON
4,7,2,WON
29,19,1,WON
27,18,2,WON
0,7,1,WON
9,11,1,WON
13,26,1,WON
6,3,2,WON
14,22,2,WON
10,17,1,WON
28,15,3,WON
19,21,3,WON
20,5,1,WON
2,16,2,WON
12,24,3,WON
25,23,2,WON
22,4,1,WON
0,23,1,WON
6,1,1,WON
11,14,2,WON
18,10,2,WON
13,12,2,WON
7,21,1,WON
2,24,1,WON
27,15,2,WON
25,29,3,WON
28,17,2,WON
8,19,2,WON
5,26,1,WON
11,9,2,WON
1,17,2,WON
6,7,1,WON
4,24,2,WON
26,16,2,WON
20,3,1,WON
12,14,1,WON
8,29,1,WON
28,10,1,WON
5,27,1,WON
18,13,1,WON
3,15,3,WON
2,4,3,WON
19,25,2,WON
0,22,2,WON
23,11,1,WON
9,0,1,WON
28,27,1,WON
13,24,2,WON
26,5,2,WON
20,10,1,WON
6,14,3,WON
21,11,3,WON
2,15,1,WON
12,1,1,WON
7,25,3,WON
8,17,1,WON
4,18,3,WON
7,27,3,WON
17,8,2,WON
13,25,1,WON
12,28,2,WON
15,16,2,WON
20,14,2,WON
22,19,1,WON
29,3,2,WON
10,24,1,WON
9,26,2,WON
23,13,3,WON
11,2,1,WON
0,1,1,WON
12,27,1,WON
9,19,2,WON
3,21,1,WON
18,14,1,WON
15,25,2,WON
24,28,1,WON
5,16,2,WON
22,4,1,WON
10,29,2,WON
6,4,3,WON
23,29,2,WON
21,8,2,WON
1,24,2,WON
7,13,2,WON
28,17,1,WON
20,19,3,WON
0,26,1,WON
12,10,1,WON
27,15,1,WON
5,2,1,WON
3,25,2,WON
18,16,1,WON
20,22,2,WON
9,6,1,WON
13,18,1,WON
17,14,2,WON
28,26,3,WON
5,11,1,WON
22,12,2,WON
10,15,1,WON
8,19,2,WON
11,25,1,WON
