calculate_winner,calculate_winner_range,calculate_home_wins_percentage_home,calculate_away_wins_percentage_away,calculate_wins_percentage_overall_home,calculate_wins_percentage_overall_away,calculate_average_home_points_home,calculate_average_away_points_away,points_in_paint_home,points_in_paint_away,average_points_home,average_points_away,calculate_average_home_allowed_points_home,calculate_average_away_allowed_points_away,average_fouls_home,average_fouls_away,fast_break_points_home,fast_break_points_away,average_steals_home,average_steals_away,average_blocks_home,average_blocks_away,average_technical_fouls_home,average_technical_fouls_away,consecutive_away_games_home,consecutive_away_games_away,average_possessions_home,average_possessions_away,average_home_possessions_home,average_away_possessions_away,home_offensive_rating_home,away_offensive_rating_away
231211010,0,-1,0.89,0.42,0.65,0.57,91.11,88.83,-1.00,-1.00,88.25,91.39,84.44,86.33,22.80,21.35,3.30,4.26,6.60,8.04,6.05,6.74,1.10,0.57,0,0,108.20,110.04,107.97,110.51,84.38,80.38
231211021,0,-2,0.50,0.64,0.38,0.68,94.25,90.09,-1.00,-1.00,91.67,91.86,92.33,91.09,22.67,20.91,4.81,5.59,8.48,9.95,5.67,3.55,1.05,0.73,4,0,110.12,108.11,108.69,108.89,86.71,82.73
400829101,1,3,0.78,0.08,0.68,0.12,104.53,96.51,41.90,43.38,102.46,97.31,98.40,107.03,19.73,21.73,10.91,12.29,7.75,8.28,5.42,6.03,0.89,0.41,1,0,96.89,101.72,97.36,101.71,107.36,94.89
400828815,1,2,1.00,0.37,0.85,0.42,106.21,107.40,44.00,49.43,104.72,107.02,90.10,110.83,17.62,20.62,10.72,17.52,8.07,8.68,5.98,4.48,0.56,0.97,1,2,96.76,104.49,96.53,104.40,110.03,102.87
400828932,1,3,0.61,0.09,0.52,0.13,102.67,96.62,40.14,44.63,101.94,97.17,99.30,107.47,20.09,21.97,13.46,12.64,9.03,8.44,4.86,6.21,0.38,0.40,0,0,100.97,101.73,100.57,101.88,102.09,94.84
301213004,1,3,0.82,0.45,0.64,0.50,103.36,95.00,15.91,11.95,100.05,99.64,96.91,98.64,21.18,23.00,17.41,13.59,8.27,6.77,6.09,6.77,0.91,0.77,0,1,98.45,98.52,98.62,97.36,104.81,97.58
281215001,1,1,0.89,0.11,0.61,0.29,99.22,92.44,16.00,10.46,97.00,89.67,94.11,98.56,19.96,22.42,15.65,17.79,7.09,7.54,5.35,4.33,0.70,0.58,0,0,92.58,91.62,92.79,92.25,106.93,100.21
281215002,1,2,0.93,0.45,0.92,0.60,100.43,96.00,12.29,12.76,100.83,99.80,89.36,97.55,23.17,22.12,19.04,18.24,8.54,9.28,4.92,4.52,1.75,0.32,0,0,95.44,95.26,94.17,95.69,106.65,100.32
260309020,0,-1,0.61,0.43,0.50,0.54,102.84,95.39,12.10,21.11,100.57,100.41,101.19,99.93,20.93,22.57,16.52,17.18,7.78,8.59,5.27,5.90,0.85,1.02,1,0,97.49,98.90,98.46,97.89,104.45,97.45
260309021,0,-3,0.75,0.68,0.71,0.78,108.94,93.58,16.22,10.08,108.10,95.05,99.19,90.74,20.71,21.15,17.00,15.17,6.51,6.28,5.63,5.75,0.69,0.65,2,2,100.06,92.04,99.76,92.36,109.20,101.32
260309022,0,-3,0.45,0.70,0.32,0.78,92.00,98.56,9.72,14.32,88.77,99.93,95.00,96.07,22.53,22.52,13.03,15.37,6.17,7.43,5.58,5.90,0.82,0.88,3,0,91.54,92.92,91.29,94.29,100.78,104.53
281215009,0,-2,0.40,0.75,0.29,0.75,111.00,99.42,17.08,11.46,106.33,100.50,110.10,96.25,21.08,20.00,16.83,15.96,8.29,7.50,6.92,6.54,1.00,1.00,1,4,103.46,96.17,103.66,95.92,107.08,103.65
230228002,1,1,0.64,0.23,0.56,0.31,94.93,88.27,-1.00,-1.00,93.91,89.78,91.32,97.58,22.25,22.19,3.51,6.09,9.25,7.43,3.81,4.46,1.63,0.78,0,1,109.61,108.45,110.80,108.81,85.68,81.12
230228004,0,-3,0.67,0.17,0.36,0.36,94.70,89.43,-1.00,-1.00,93.47,92.91,94.74,98.37,24.49,22.66,5.42,4.90,7.47,7.45,5.64,5.79,1.05,0.72,0,5,114.83,112.83,112.54,112.97,84.15,79.16
