id,date,home_team,home_points,away_team,away_points,half_time_score,fg_made_attempted_home,fg_made_attempted_away,field_goal_%_home,field_goal_%_away,3pt_made_attempted_home,3pt_made_attempted_away,three_point_%_home,three_point_%_away,ft_made_attempted_home,ft_made_attempted_away,free_throw_%_home,free_throw_%_away,total_rebounds_home,total_rebounds_away,offensive_rebounds_home,offensive_rebounds_away,defensive_rebounds_home,defensive_rebounds_away,team_rebounds_home,team_rebounds_away,assists_home,assists_away,steals_home,steals_away,blocks_home,blocks_away,turnovers_home,turnovers_away,points_home,points_away,fast_break_points_home,fast_break_points_away,points_in_paint_home,points_in_paint_away,personal_fouls_home,personal_fouls_away,technical_fouls_home,technical_fouls_away,flagrant_fouls_home,flagrant_fouls_away
231028013,2003-10-28,LAL,109,DAL,93,55-45,45-89,32-85,50.6,37.6,7-20,7-25,35.0,28.0,12-20,22-30,60.0,73.3,56,57,7,11,39,35,10,11,32,17,7,4,6,1,22,22,18,15,0,0,-1,-1,28,21,0,1,0,0
231028020,2003-10-28,PHI,89,MIA,74,44-39,33-75,29-71,44.0,40.8,7-20,2-8,35.0,25.0,16-30,14-17,53.3,82.4,49,52,12,12,27,32,10,8,25,16,12,3,3,2,20,38,22,11,0,0,-1,-1,19,22,2,0,0,1
231028024,2003-10-28,SA,83,PHX,82,38-42,31-73,30-83,42.5,36.1,1-10,5-10,10.0,50.0,20-26,17-21,76.9,81.0,47,58,7,17,31,26,9,15,20,14,8,7,11,5,40,36,18,20,0,0,-1,-1,24,32,1,0,0,0
231029002,2003-10-29,BOS,98,MIA,75,49-39,37-73,26-71,50.7,36.6,5-16,5-12,31.3,41.7,19-26,18-24,73.1,75.0,47,47,5,8,35,31,7,8,28,14,9,4,9,2,20,32,20,10,5,3,-1,-1,23,20,3,0,0,0
231029003,2003-10-29,NO,88,ATL,83,33-40,35-108,33-83,32.4,39.8,4-25,3-14,16.0,21.4,14-20,14-19,70.0,73.7,65,69,21,10,34,48,10,11,24,18,18,7,4,11,24,54,30,8,8,4,-1,-1,20,20,1,2,0,0
231029004,2003-10-29,CHI,74,WSH,99,31-43,26-82,37-76,31.7,48.7,3-13,5-12,23.1,41.7,19-31,20-30,61.3,66.7,63,54,18,11,29,37,16,6,16,25,9,12,8,5,38,36,14,22,3,5,-1,-1,23,22,0,0,0,0
231029007,2003-10-29,DEN,80,SA,72,39-36,28-96,26-97,29.2,26.8,4-10,2-13,40.0,15.4,20-29,18-23,69.0,78.3,81,72,26,23,40,37,15,12,17,14,8,11,7,16,40,38,18,9,10,7,-1,-1,25,28,0,0,0,0
231029008,2003-10-29,DET,87,IND,89,44-46,31-79,36-79,39.2,45.6,2-6,7-14,33.3,50.0,23-31,10-15,74.2,66.7,50,54,16,12,24,27,10,15,15,18,11,8,12,9,30,42,23,23,7,4,-1,-1,17,28,0,0,0,0
231029009,2003-10-29,GS,87,DAL,95,47-49,36-92,34-78,39.1,43.6,5-21,2-14,23.8,14.3,10-17,25-29,58.8,86.2,57,54,15,11,36,39,6,4,19,19,6,9,3,5,30,28,14,18,1,4,-1,-1,27,17,1,1,0,1
231029016,2003-10-29,MIN,95,MIL,89,54-41,38-85,35-83,44.7,42.2,1-6,2-9,16.7,22.2,18-28,17-18,64.3,94.4,59,47,15,12,32,30,12,5,26,25,8,4,5,4,16,26,20,8,6,1,-1,-1,14,21,0,0,0,0
231029018,2003-10-29,NY,83,ORL,85,34-34,32-80,32-87,40.0,36.8,5-16,5-20,31.3,25.0,14-17,16-29,82.4,55.2,60,59,8,12,40,32,12,15,20,17,8,11,6,4,54,34,13,27,1,3,-1,-1,22,18,2,1,0,0
231029023,2003-10-29,SAC,106,CLE,92,65-52,44-87,40-86,50.6,46.5,2-9,6-11,22.2,54.5,16-20,6-9,80.0,66.7,49,47,13,10,28,29,8,8,27,24,7,6,8,9,20,28,19,14,7,10,-1,-1,11,25,0,0,0,0
231029026,2003-10-29,UTAH,99,POR,92,43-51,42-73,36-84,57.5,42.9,5-9,4-12,55.6,33.3,10-14,16-21,71.4,76.2,33,55,8,20,21,20,4,15,25,20,9,10,5,2,24,32,16,11,12,10,-1,-1,20,20,3,0,0,0
231029028,2003-10-29,TOR,90,NJ,87,38-47,34-80,33-81,42.5,40.7,2-12,4-11,16.7,36.4,20-25,17-23,80.0,73.9,57,48,12,12,33,28,12,8,17,26,2,6,4,3,24,18,10,11,7,9,-1,-1,23,25,0,2,0,0
231030010,2003-10-30,HOU,102,DEN,85,48-42,37-76,26-73,48.7,35.6,4-7,4-13,57.1,30.8,24-32,29-36,75.0,80.6,53,48,14,15,30,23,9,10,21,10,11,10,4,8,38,46,27,13,9,4,-1,-1,29,26,3,0,0,0
231030019,2003-10-30,ORL,98,NO,100,51-50,32-78,35-78,41.0,44.9,6-19,7-19,31.6,36.8,28-33,23-26,84.8,88.5,44,53,16,17,20,26,8,10,18,19,7,10,4,6,26,32,18,18,2,6,-1,-1,25,24,0,1,0,0
231030021,2003-10-30,PHX,95,CLE,86,53-49,33-80,37-86,41.3,43.0,2-10,5-20,20.0,25.0,27-38,7-12,71.1,58.3,51,61,11,10,32,41,8,10,16,25,8,6,7,6,26,44,20,13,7,4,-1,-1,15,24,1,1,0,0
231030025,2003-10-30,SEA,109,LAC,100,44-42,40-98,38-91,40.8,41.8,9-29,10-25,31.0,40.0,20-31,14-17,64.5,82.4,62,63,23,18,24,35,15,10,22,21,8,6,7,12,22,42,28,12,4,6,-1,-1,15,25,0,0,0,0
231031004,2003-10-31,CHI,100,ATL,94,48-42,36-90,36-90,40.0,40.0,6-12,7-12,50.0,58.3,22-29,15-21,75.9,71.4,64,57,16,13,37,35,11,9,27,22,10,6,12,7,28,30,17,15,4,6,-1,-1,21,29,0,1,0,0
231031011,2003-10-31,IND,79,MIL,93,36-49,33-85,39-72,38.8,54.2,4-16,4-15,25.0,26.7,9-12,11-17,75.0,64.7,35,59,8,14,17,35,10,10,20,20,10,8,4,10,20,44,28,12,6,11,-1,-1,20,15,0,1,0,0
231031012,2003-10-31,LAC,105,SEA,124,58-66,36-89,46-86,40.4,53.5,8-21,9-26,38.1,34.6,25-30,23-29,83.3,79.3,54,50,16,11,27,31,11,8,23,27,6,7,4,3,32,24,10,20,4,3,-1,-1,25,23,3,1,0,0
231031014,2003-10-31,MIA,81,DET,93,38-47,30-84,30-69,35.7,43.5,1-9,5-14,11.1,35.7,20-26,28-35,76.9,80.0,54,52,20,14,23,26,11,12,14,15,8,6,3,9,26,32,14,25,2,1,-1,-1,25,27,0,1,1,0
231031017,2003-10-31,NJ,84,MIN,61,44-30,36-79,25-75,45.6,33.3,2-15,2-10,13.3,20.0,10-16,9-11,62.5,81.8,56,45,10,11,33,25,13,9,29,15,14,5,4,5,36,52,21,13,8,0,-1,-1,20,22,1,2,0,0
231031023,2003-10-31,SAC,100,PHI,89,53-43,38-74,33-79,51.4,41.8,6-11,0-7,54.5,0.0,18-23,23-30,78.3,76.7,42,52,8,15,25,25,9,12,26,16,8,9,7,5,32,38,17,18,5,6,-1,-1,23,21,0,0,0,0
231031028,2003-10-31,TOR,82,WSH,79,27-37,32-83,31-70,38.6,44.3,3-9,1-7,33.3,14.3,15-18,16-21,83.3,76.2,57,41,18,7,31,30,8,4,24,17,9,10,5,7,28,24,19,14,10,10,-1,-1,13,18,2,0,0,0
231031029,2003-10-31,MEM,91,BOS,93,47-44,30-81,34-72,37.0,47.2,6-26,3-13,23.1,23.1,25-33,22-33,75.8,66.7,51,57,12,9,32,40,7,8,24,21,8,12,7,3,30,40,26,10,10,5,-1,-1,29,26,1,2,0,0
231101001,2003-11-01,ATL,99,IND,103,49-35,36-77,39-87,46.8,44.8,6-16,4-14,37.5,28.6,21-31,21-37,67.7,56.8,49,66,4,15,32,37,13,14,23,19,5,11,9,4,34,30,14,20,1,0,-1,-1,27,23,1,3,0,0
231101003,2003-11-01,NO,97,BOS,90,56-48,34-71,33-81,47.9,40.7,12-24,8-26,50.0,30.8,17-29,16-19,58.6,84.2,51,49,4,9,28,31,19,9,23,20,10,6,2,3,34,34,23,16,7,6,-1,-1,23,28,0,0,0,0
231101006,2003-11-01,DAL,127,UTAH,102,56-44,46-89,37-84,51.7,44.0,9-23,4-16,39.1,25.0,26-31,24-30,83.9,80.0,54,47,16,14,33,24,5,9,28,25,10,4,4,4,14,26,23,9,13,4,-1,-1,23,29,1,0,1,1
231101007,2003-11-01,DEN,109,SAC,88,66-55,42-86,33-91,48.8,36.3,2-5,4-15,40.0,26.7,23-28,18-26,82.1,69.2,60,55,12,16,37,25,11,14,25,24,9,13,14,4,32,36,14,18,7,8,-1,-1,25,29,1,1,0,0
231101009,2003-11-01,GS,104,PHI,90,55-47,41-69,37-79,59.4,46.8,5-13,10-19,38.5,52.6,17-19,6-11,89.5,54.5,45,32,7,8,30,17,8,7,18,22,4,10,2,4,38,26,13,19,0,2,-1,-1,17,17,1,3,0,0
231101010,2003-11-01,HOU,71,MEM,79,33-34,24-66,35-84,36.4,41.7,2-15,3-13,13.3,23.1,21-28,6-11,75.0,54.5,56,47,13,16,29,24,14,7,14,24,8,9,10,4,48,26,11,26,7,5,-1,-1,17,26,0,0,0,0
231101015,2003-11-01,MIL,98,CHI,68,43-42,39-87,23-82,44.8,28.0,6-15,4-16,40.0,25.0,14-27,18-24,51.9,75.0,70,56,14,15,40,30,16,11,27,14,8,6,7,10,26,38,22,7,5,6,-1,-1,22,22,1,1,0,0
231101016,2003-11-01,MIN,73,TOR,56,41-32,31-68,19-69,45.6,27.5,2-5,3-8,40.0,37.5,9-11,15-17,81.8,88.2,40,51,7,17,28,28,5,6,20,10,5,4,10,2,22,36,19,6,1,1,-1,-1,22,15,1,1,0,0
231101019,2003-11-01,ORL,85,DET,96,44-55,32-82,35-84,39.0,41.7,5-12,3-7,41.7,42.9,16-21,23-28,76.2,82.1,48,61,9,18,24,32,15,11,16,17,7,7,2,5,32,32,21,9,2,1,-1,-1,23,17,1,0,0,0
231101021,2003-11-01,PHX,99,LAL,103,47-56,38-92,37-81,41.3,45.7,8-17,2-13,47.1,15.4,15-15,27-39,100.0,69.2,44,66,8,15,30,37,6,14,22,24,7,6,5,6,18,26,11,14,0,3,-1,-1,29,18,0,0,0,0
231101022,2003-11-01,POR,104,CLE,85,54-39,38-77,35-73,49.4,47.9,6-15,2-11,40.0,18.2,22-29,13-17,75.9,76.5,47,41,8,8,30,29,9,4,27,23,7,5,3,3,24,44,20,13,1,2,-1,-1,22,24,0,1,0,0
231101024,2003-11-01,SA,86,NY,74,48-38,27-63,29-71,42.9,40.8,6-18,1-13,33.3,7.7,26-35,15-16,74.3,93.8,46,42,8,8,31,29,7,5,20,20,8,5,2,4,32,36,21,16,5,3,-1,-1,19,29,1,0,0,0
231101027,2003-11-01,WSH,85,NJ,98,36-45,34-81,37-87,42.0,42.5,3-14,6-14,21.4,42.9,14-20,18-20,70.0,90.0,58,47,19,14,29,25,10,8,18,26,8,12,6,4,44,22,10,28,0,2,-1,-1,23,20,0,1,0,0
231102013,2003-11-02,LAL,87,GS,72,43-32,34-80,29-78,42.5,37.2,4-11,3-15,36.4,20.0,15-22,11-19,68.2,57.9,56,54,12,14,34,32,10,8,28,22,12,10,6,3,34,40,18,13,5,2,-1,-1,19,19,2,0,0,0
231103001,2003-11-03,ATL,90,NO,80,50-41,35-82,33-81,42.7,40.7,5-15,4-18,33.3,22.2,15-23,10-17,65.2,58.8,60,50,18,16,32,26,10,8,20,21,6,11,7,6,34,30,18,16,4,4,-1,-1,22,22,1,2,0,0
231103004,2003-11-03,CHI,66,HOU,98,35-55,21-79,37-71,26.6,52.1,6-14,9-15,42.9,60.0,18-25,15-19,72.0,78.9,54,49,13,1,29,40,12,8,15,22,6,12,5,10,38,30,6,21,2,3,-1,-1,21,20,0,0,0,0
231103006,2003-11-03,DAL,103,MIA,93,48-50,39-77,39-83,50.6,47.0,9-19,7-14,47.4,50.0,16-17,8-12,94.1,66.7,38,49,4,12,32,31,2,6,25,19,8,7,4,1,24,36,21,8,10,6,-1,-1,10,19,0,1,0,0
231103019,2003-11-03,ORL,68,NY,75,31-41,21-84,29-72,25.0,40.3,4-16,1-12,25.0,8.3,22-27,16-17,81.5,94.1,55,57,17,7,30,42,8,8,13,23,10,8,4,10,24,40,16,8,2,5,-1,-1,15,20,0,1,0,0
231103022,2003-11-03,POR,83,PHI,94,41-50,31-79,32-66,39.2,48.5,3-11,3-12,27.3,25.0,18-28,27-35,64.3,77.1,53,47,16,5,25,24,12,18,22,19,12,11,3,4,38,36,16,27,5,6,-1,-1,27,24,0,0,0,0
231103026,2003-11-03,UTAH,93,MIN,88,44-39,35-81,36-81,43.2,44.4,2-6,6-14,33.3,42.9,21-29,10-12,72.4,83.3,64,37,24,10,29,23,11,4,17,21,4,8,11,6,32,20,12,21,8,1,-1,-1,18,24,0,3,0,1
231103029,2003-11-03,MEM,88,SA,80,45-44,31-83,29-76,37.3,38.2,6-19,4-10,31.6,40.0,20-28,18-25,71.4,72.0,52,62,13,9,31,39,8,14,23,21,14,9,10,8,36,50,25,11,7,7,-1,-1,22,25,1,2,0,0
231104011,2003-11-04,IND,71,DEN,60,39-34,27-76,23-79,35.5,29.1,0-8,2-9,0.0,22.2,17-23,12-18,73.9,66.7,58,59,15,18,34,31,9,10,21,12,15,8,7,10,36,46,21,19,3,3,-1,-1,20,19,0,1,0,0
231104015,2003-11-04,MIL,107,LAL,113,54-57,36-90,40-87,40.0,46.0,9-19,8-19,47.4,42.1,26-30,25-41,86.7,61.0,59,62,17,16,35,32,7,14,22,25,8,7,5,5,24,20,11,13,5,6,-1,-1,26,22,1,0,0,0
231104017,2003-11-04,NJ,75,HOU,86,44-37,27-80,35-66,33.8,53.0,4-12,5-10,33.3,50.0,17-22,11-17,77.3,64.7,41,54,12,5,23,39,6,10,21,17,12,9,1,4,24,44,22,12,7,4,-1,-1,20,22,2,1,0,0
231104024,2003-11-04,SA,80,MIA,73,42-41,25-73,24-68,34.2,35.3,4-15,4-12,26.7,33.3,26-41,21-24,63.4,87.5,61,49,15,10,33,34,13,5,12,8,6,8,5,3,20,30,10,13,4,2,-1,-1,17,31,0,0,0,0
231105005,2003-11-05,CLE,89,DEN,93,44-46,33-87,38-88,37.9,43.2,2-9,7-19,22.2,36.8,21-31,10-18,67.7,55.6,67,55,19,13,37,29,11,13,19,17,10,10,7,7,32,32,18,21,5,5,-1,-1,19,24,0,1,0,0
231105008,2003-11-05,DET,96,BOS,88,45-54,33-80,35-74,41.3,47.3,8-18,2-13,44.4,15.4,22-32,16-17,68.8,94.1,54,43,21,13,24,27,9,3,19,23,12,13,5,4,36,42,22,24,5,3,-1,-1,19,27,1,2,0,0
